id,node_ids,road_name
268,278165828 278165837 5407171745 5407133036 5407133044 6412446508 278165832 7208458031 278165864 278165823 4567579350 278165840 278165805 11084137396 278165798 278165791 278165787 6412446510 278165769 6412446509 6191328038 6412446512 278165639 6412446513 278165642 9827070371 278165629 6112498213 2699606395 6412446516 9827070312 11482249400 6094626725 4070132808 4070132831 11919472841 4544342639 7228256342 9826903662 413319372 3742558745 6112259631 278165636 278165615 6094178442 9898859751 6189609653 9868177140 9743491501 277793240 6234261917 6234261915 278165600 10666181628,Sant Shri Nagpal Marg
269,10666181628 3188318595,Sant Shri Nagpal Marg
270,3188318595 9743154094 3188318613 278165596 278165586 5406803512 9868124758 278165572 9869567344 12811293354 278165566 12811293343 12811293344 12811293367 12811293352 278165569 12811293366 278165559 12811293356 278165562 12811293358 12811293345 12811293362 12811293346 12811293342 278165539 9894626649,Sant Shri Nagpal Marg
271,9894626649 1556439841 1556439844 5406793088 278165531 7008343945 278165520 11919379410,Sant Shri Nagpal Marg
272,11919379410 7008343946 278165522 7008343944 7008343947 278165513 7008343943 278165517 12110311485 7008343942 278165509 271335952 271335836,Sant Shri Nagpal Marg
273,271335836 4039562050,Sant Shri Nagpal Marg
274,271335992 267086487,
275,316066079 9794096407,Delhi-Gurugram Expressway
276,9794096407 6997689022 9869970739 5985299776 5985299777 316066066 316066037 6997689003 3739919728 3739919117 3739919093 7249102380 910664786,Delhi-Gurugram Expressway
277,910664786 316066036 349908860 316066035,Delhi-Gurugram Expressway
278,5356930950 12121517878,Mahatma Gandhi Marg
279,12121517878 10130541107 442789381,Mahatma Gandhi Marg
280,9821710031 9819235488 4217110078 4217110095 3953762528 9821508744 3953762531 9821666784 9821666809 1868728956 9821697515 9821778014 9821697514 7244643261 9819669798 9819669791 3953762536 3953762564 3953762572 3953762580 3953762592 9790338687 9790338686 3953762596 3953762603 3953762605 9790338689 3953762610 9790338692 3953762614 7096298906 3953762620 3953762622 7096298905 3953762621 7096298904 3953762618 4217110121 9790338694 6619154804 9790338695 3953762599 6619154806 6619154805 3953762565 7090157625 6619154810 7090129913 3953762544 6619154801 7090129914 3953762538 7090129916 3953762537 7090129915 3953762539 7090129918 3953762541 7090129917 3953762549 3953762551 1510114294 3953762456 3953762559 3953762561 3953762566 3953762571 7090129922 3953762578 3953762584 3953762589 3953762598 3953762608 3953762629 3953762631 3953762633 3953762634 3953762636 3953762638 3953762640 3953762642,Faridabad-Gurgaon Road
281,3953762642 11092836489,Faridabad-Gurgaon Road
282,563126473 4235038830 5370211780 563126517 5370211781 5370211793 277420295 6258443993,Mahatma Gandhi Marg
283,9837861295 11182566981 4171934715 9840227561 9837861248 4171935013 9837861249 9837861247 9837861250 9837861246 9837861245 4211886644 9837861244 278165679 9837861240 9837861239 9837861243 9837861238 9837861237 9837861242 278165689 9837861241 4211830754 9837861251 4171935450 9814247502 9813811046 4039562027 9813811047 9837861294 4171935490 9813811049 4214855471 278165691 9813811048 4171935566 4171935573 4171935604 4171935639 9813911916 4171935651 9813852835 4214855477 4214910232 4214855484 4039562031 9849521164 9813811050 4214910236 4171936020 4171936038 10242185897 9849295033 4211924758 4171936174 277793450,Chattarpur Main Road
284,4039562049 278165507 278165503 7008343941 7008343940 278165511 7008343939 12110304650 278165527 7008343938 11919379411,Sant Shri Nagpal Marg
285,11919379411 278165534 9869853356 278165543 6411419001 1556439856 9894626648,Sant Shri Nagpal Marg
286,9894626648 278165549 278165547 12811293361 278165555 12811293360 12811293347 12811293357 12811293359 12811293355 12811293365 12811293350 12811293364 12811293351 12811293363 12811293349 12811293348 12811293353 278165553 9869728426 278165584 2507395921 278165580 5902413586 278165590 5902413585,Sant Shri Nagpal Marg
287,5902413585 3188318594,Sant Shri Nagpal Marg
288,3188318594 278165612,Sant Shri Nagpal Marg
289,278165612 9869728499 278165609 11482360321 2507403670 9869728492 2507403689 6112259624 278165624 6412446517 6412446518 4070133319 13335357172 4219241649 4219241641,Sant Shri Nagpal Marg
290,356261750 413757294 413757316 356261751 413757296 413757295 413757297 413757298 12257814839 413757382 356261752 413757299 2009753217 11187631972 2009753213,
